mean,mean+std,mean-std,std
2.7189608,2.8647726,2.573149,0.14581169
2.655747,2.864325,2.4471688,0.20857807
2.7516649,2.8676074,2.6357224,0.11594258
2.9682949,3.0772822,2.8593075,0.10898731
3.0570493,3.162617,2.9514816,0.10556774
3.1066985,3.2742054,2.9391916,0.16750696
