mean,mean+std,mean-std,std
3.133901,3.32869,2.9391117,0.19478917
2.634137,2.7323928,2.535881,0.09825584
2.8456182,3.0044775,2.686759,0.15885933
3.0389533,3.1611056,2.916801,0.122152224
2.9637427,3.1457827,2.7817028,0.18204
3.0789082,3.247686,2.9101305,0.1687776
3.1083066,3.2601929,2.9564204,0.15188614
3.261992,3.518661,3.005323,0.25666893
3.0721335,3.2875497,2.8567173,0.21541622
3.0218904,3.1508615,2.8929193,0.12897103
